Date,Visitor,G,Home,G,,Att.,LOG,Notes
1995-02-16,Hartford Whalers,2,Pittsburgh Penguins,5,,,,
1995-02-17,Edmonton Oilers,2,Detroit Red Wings,4,,,,
1995-02-17,Boston Bruins,5,Florida Panthers,4,,,,
1995-02-17,San Jose Sharks,2,Los Angeles Kings,0,,,,
1995-02-17,Vancouver Canucks,2,Mighty Ducks of Anaheim,2,OT,,,
1995-02-17,New York Islanders,2,New Jersey Devils,2,OT,,,
1995-02-17,Ottawa Senators,2,Tampa Bay Lightning,1,,,,
1995-02-17,St. Louis Blues,4,Winnipeg Jets,3,,,,
1995-02-18,Dallas Stars,2,Calgary Flames,3,OT,,,
1995-02-18,Pittsburgh Penguins,2,Hartford Whalers,4,,,,
1995-02-18,Vancouver Canucks,6,Los Angeles Kings,2,,,,
1995-02-18,New York Rangers,2,Montreal Canadiens,5,,,,
1995-02-18,New Jersey Devils,2,New York Islanders,3,,,,
1995-02-18,Mighty Ducks of Anaheim,6,San Jose Sharks,3,,,,
1995-02-18,Boston Bruins,1,Tampa Bay Lightning,3,,,,
1995-02-18,St. Louis Blues,1,Toronto Maple Leafs,3,,,,
1995-02-18,Quebec Nordiques,2,Washington Capitals,4,,,,
1995-02-19,Edmonton Oilers,1,Chicago Blackhawks,4,,,,
1995-02-19,Quebec Nordiques,4,Florida Panthers,1,,,,
1995-02-19,Buffalo Sabres,3,Pittsburgh Penguins,3,OT,,,
1995-02-20,Dallas Stars,2,Calgary Flames,1,,,,
1995-02-20,San Jose Sharks,2,Chicago Blackhawks,3,,,,
1995-02-20,New York Islanders,2,Montreal Canadiens,3,OT,,,
1995-02-20,Edmonton Oilers,0,St. Louis Blues,4,,,,
1995-02-20,New York Rangers,3,Tampa Bay Lightning,1,,,,
1995-02-20,Detroit Red Wings,4,Toronto Maple Leafs,2,,,,
1995-02-20,Los Angeles Kings,2,Vancouver Canucks,8,,,,
1995-02-20,New Jersey Devils,2,Washington Capitals,0,,,,
1995-02-21,New York Rangers,5,Florida Panthers,3,,,,
1995-02-21,Quebec Nordiques,4,Pittsburgh Penguins,5,,,,
1995-02-22,New York Islanders,3,Buffalo Sabres,3,OT,,,
1995-02-22,Toronto Maple Leafs,1,Detroit Red Wings,4,,,,
1995-02-22,Dallas Stars,1,Edmonton Oilers,2,,,,
1995-02-22,Boston Bruins,2,Hartford Whalers,3,OT,,,
1995-02-22,San Jose Sharks,3,St. Louis Blues,4,,,,
1995-02-22,Winnipeg Jets,4,Vancouver Canucks,1,,,,
1995-02-23,Detroit Red Wings,4,Chicago Blackhawks,2,,,,
1995-02-23,Montreal Canadiens,5,Florida Panthers,2,,,,
1995-02-23,Calgary Flames,3,Los Angeles Kings,3,OT,,,
1995-02-23,Boston Bruins,3,New Jersey Devils,2,,,,
1995-02-23,Tampa Bay Lightning,4,New York Islanders,1,,,,
1995-02-23,Washington Capitals,5,Ottawa Senators,5,OT,,,
1995-02-23,Philadelphia Flyers,6,Quebec Nordiques,6,OT,,,
1995-02-23,Mighty Ducks of Anaheim,1,Toronto Maple Leafs,3,,,,
1995-02-24,Vancouver Canucks,3,Dallas Stars,3,OT,,,
1995-02-24,Hartford Whalers,2,New York Rangers,1,,,,
1995-02-24,Tampa Bay Lightning,4,Pittsburgh Penguins,2,,,,
1995-02-24,Calgary Flames,3,San Jose Sharks,0,,,,
1995-02-24,Mighty Ducks of Anaheim,2,Winnipeg Jets,4,,,,
1995-02-25,St. Louis Blues,3,Detroit Red Wings,2,,,,
1995-02-25,Los Angeles Kings,4,Edmonton Oilers,3,,,,
1995-02-25,Buffalo Sabres,3,Hartford Whalers,1,,,,
1995-02-25,Philadelphia Flyers,7,Montreal Canadiens,0,,,,
1995-02-25,Washington Capitals,3,New Jersey Devils,3,OT,,,
1995-02-25,Pittsburgh Penguins,1,New York Islanders,3,,,,
1995-02-25,Florida Panthers,4,Ottawa Senators,1,,,,
1995-02-25,Boston Bruins,1,Quebec Nordiques,1,OT,,,
1995-02-25,Winnipeg Jets,2,Toronto Maple Leafs,5,,,,
1995-02-26,New York Rangers,4,Buffalo Sabres,2,,,,
1995-02-26,Chicago Blackhawks,2,Dallas Stars,1,,,,
1995-02-26,Calgary Flames,5,Mighty Ducks of Anaheim,3,,,,
1995-02-26,Vancouver Canucks,5,San Jose Sharks,1,,,,
1995-02-26,Tampa Bay Lightning,1,Washington Capitals,1,OT,,,
1995-02-27,Montreal Canadiens,1,New Jersey Devils,6,,,,
1995-02-27,Boston Bruins,2,Ottawa Senators,0,,,,
1995-02-27,Pittsburgh Penguins,7,Quebec Nordiques,5,,,,
1995-02-27,Toronto Maple Leafs,2,St. Louis Blues,3,,,,
1995-02-28,Edmonton Oilers,2,Calgary Flames,5,,,,
1995-02-28,Chicago Blackhawks,8,Los Angeles Kings,4,,,,
1995-02-28,Montreal Canadiens,1,New York Islanders,2,,,,
1995-02-28,Florida Panthers,0,New York Rangers,0,OT,,,
1995-02-28,Hartford Whalers,6,Ottawa Senators,3,,,,
1995-02-28,Washington Capitals,2,Philadelphia Flyers,4,,,,
1995-02-28,San Jose Sharks,4,Vancouver Canucks,3,,,,
1995-02-28,Dallas Stars,4,Winnipeg Jets,0,,,,
1995-03-01,Dallas Stars,5,Edmonton Oilers,3,,,,
1995-03-01,New York Rangers,5,Hartford Whalers,2,,,,
1995-03-01,Chicago Blackhawks,1,Mighty Ducks of Anaheim,3,,,,
1995-03-01,Tampa Bay Lightning,2,Quebec Nordiques,8,,,,
1995-03-02,New Jersey Devils,2,Boston Bruins,7,,,,
1995-03-02,Pittsburgh Penguins,3,Buffalo Sabres,6,,,,
1995-03-02,Vancouver Canucks,2,Calgary Flames,2,OT,,,
1995-03-02,Winnipeg Jets,1,Detroit Red Wings,6,,,,
1995-03-02,Washington Capitals,4,New York Islanders,3,,,,
1995-03-02,Tampa Bay Lightning,3,Ottawa Senators,2,OT,,,
1995-03-02,Florida Panthers,2,Philadelphia Flyers,2,OT,,,
1995-03-02,San Jose Sharks,4,Toronto Maple Leafs,3,,,,
1995-03-03,Mighty Ducks of Anaheim,0,Dallas Stars,4,,,,
